,招标文件名称,省市区,网址,类型,银行全称,行别,投标时间,报名时间,截止时间
86,中国农业银行股份有限公司2019年度开放平台维保服务项目（第五包：开放平台类设备（PC服务器、存储、交换机、虚拟带库、小型机等）第三方维保）变更公告,北京,http://www.gc-zb.com/read-195959051.html,招标,中国农业银行股份有限公司,总行,,,
87,中国农业银行满洲里分行工程造价咨询服务项目招标公告,内蒙古,http://www.gc-zb.com/read-195957096.html,招标,,,,,
88,中国进出口银行贵州省分行金融借款纠纷执行案件诉讼法律服务招标公告,贵州,http://www.gc-zb.com/read-195956888.html,招标,中国进出口银行,分行,,,
89,交通银行股份有限公司河南省分行2020年消保服务检查项目-招标公告,河南,http://www.gc-zb.com/read-195956814.html,招标,,,,,
90,中国邮政储蓄银行大数据平台主仓系统2019年建设工程Vertica服务采购项目中标候选人公示,北京,http://www.gc-zb.com/read-195956695.html,中标,,,,,
91,中国光大银行2019年第二批总行SAN存储设备扩容采购项目采购结果公告,北京,http://www.gc-zb.com/read-195956482.html,招标,,,,,
92,中国光大银行2019年第一批总行SAN存储设备扩容采购项目采购结果变更公告,北京,http://www.gc-zb.com/read-195956446.html,招标,,,,,
93,中国银行河源分行离行式ATM清机业务外包项目采购公告,广东,http://www.gc-zb.com/read-195956337.html,招标,,,,,
94,关于征集“助保贷”合作银行的公告,湖南,http://www.gc-zb.com/read-195956081.html,招标,,,,,
95,交通银行股份有限公司河南省分行2020年消保服务检查项目招标公告,河南,http://www.gc-zb.com/read-195956013.html,招标,,,,,
96,中国工商银行武汉分行非计算机类办公设备以及音像、会议智能集成设备定点供应项目项目招募公告,湖北,http://www.gc-zb.com/read-195948818.html,招标,,,,,
97,中国人民银行界首支行HF20191128152535157001直接采购项目,安徽,http://www.gc-zb.com/read-195948270.html,招标,,,,,
98,中国工商银行重庆市分行财政国库电子支付业务签名服务器采购项目,重庆,http://www.gc-zb.com/read-195947848.html,招标,,,,,
99,中国工商银行重庆市分行不动产登记信息服务项目,重庆,http://www.gc-zb.com/read-195947812.html,招标,,,,,
100,中国工商银行重庆市分行重庆南坪支行交通大学智慧校园项目,重庆,http://www.gc-zb.com/read-195947655.html,招标,,,,,
101,中国工商银行重庆市分行新闻频道《财经壹资讯》冠名项目,重庆,http://www.gc-zb.com/read-195947617.html,招标,,,,,
102,张家口银行股份有限公司张家口管理部代驾服务项目招标公告,河北,http://www.gc-zb.com/read-195947026.html,招标,,,,,
103,中国邮政储蓄银行统一监控系统工程软件采购项目成交结果公示,北京,http://www.gc-zb.com/read-195946379.html,招标,,,,,
104,长沙银行股份有限公司家庭财产意外保险、少儿健康保险项目中标候选人公示,湖南,http://www.gc-zb.com/read-195946329.html,中标,,,,,
105,长沙银行股份有限公司智能金库现金头寸管理系统建设项目中标候选人公示,湖南,http://www.gc-zb.com/read-195946303.html,中标,,,,,
106,长沙银行股份有限公司应急指挥中心（ECC）终端电气综合治理保护系统采购安装项目中标结果变更公示,湖南,http://www.gc-zb.com/read-195946272.html,中标,,,,,
107,长沙银行股份有限公司智慧化网点转型项目中标结果公示,湖南,http://www.gc-zb.com/read-195946209.html,中标,,,,,
108,邯郸银行人脸识别系统项目（二次）,河北,http://www.gc-zb.com/read-195945353.html,招标,,,,,
109,吉林柳河农村商业银行股份有限公司办公设备采购项目预中标结果公示,吉林,http://www.gc-zb.com/read-195941341.html,中标,,,,,
110,吉林柳河农村商业银行股份有限公司办公设备采购项目中标结果公示,吉林,http://www.gc-zb.com/read-195934455.html,中标,,,,,
111,杭州大江东投资开发有限公司及下属子公司银行基本存款帐户项目,浙江,http://www.gc-zb.com/read-195930298.html,招标,,,,,
112,世界银行贷款新疆职业教育建设项目新疆维吾尔医学专科学校大学生心理健康与咨询室设备项目公告(变更),新疆,http://www.gc-zb.com/read-195925743.html,招标,,,,,
